ngrp,lvdate,exdate,mcode,int_loc
8,10apr1999,10apr1999,9,1
5,28mar1999,16apr1999,6,1
4,08apr1999,12apr1999,19,1
9,10apr1999,10apr1999,9,1
5,04apr1999,16apr1999,11,1
7,08apr1999,08apr1999,9,1
5,02apr1999,05apr1999,2,1
9,26mar1999,09apr1999,9,1
3,20mar1999,09apr1999,9,1
10,10apr1999,12apr1999,9,1
6,28mar1999,15apr1999,6,1
6,26mar1999,27mar1999,4,1
6,12apr1999,16apr1999,6,1
7,05apr1999,05apr1999,6,1
10,12apr1999,12apr1999,9,1
2,16apr1999,16apr1999,11,1
10,15mar1999,20mar1999,21,1
6,02apr1999,09apr1999,4,1
15,19apr1999,19apr1999,11,1
21,24mar1999,24mar1999,20,1
21,01apr1999,01apr1999,20,1
22,27mar1999,27mar1999,24,1
8,20mar1999,27mar1999,20,1
20,27mar1999,27mar1999,20,1
10,27mar1999,27mar1999,20,1
9,28mar1999,28mar1999,17,1
6,17apr1999,17apr1999,9,1
10,05apr1999,05apr1999,24,1
15,28mar1999,28mar1999,20,1
10,25mar1999,28mar1999,16,1
10,26feb1999,26mar1999,20,1
7,27mar1999,27mar1999,8,1
22,24mar1999,26mar1999,16,1
10,02apr1999,02apr1999,,1
14,26mar1999,26mar1999,16,1
19,25mar1999,28mar1999,16,1
7,29mar1999,29mar1999,19,1
8,28mar1999,01apr1999,5,1
10,06apr1999,20apr1999,27,1
10,02apr1999,02apr1999,9,1
24,28mar1999,28mar1999,20,1
5,26mar1999,27mar1999,20,1
7,28mar1999,28mar1999,20,1
10,28mar1999,29mar1999,20,1
10,28mar1999,29mar1999,8,1
6,24jun1998,14apr1999,27,1
18,31mar1999,02apr1999,20,1
7,15feb1998,15feb1999,24,1
5,02apr1999,02apr1999,20,1
4,28mar1999,29mar1999,20,1
10,10aug1998,29mar1999,16,1
10,28mar1999,28mar1999,20,1
6,15aug1998,15mar1999,16,1
7,28mar1999,28mar1999,20,1
4,28mar1999,28mar1999,17,1
8,14may1998,24mar1999,16,1
5,25mar1999,25mar1999,20,1
7,28mar1999,28mar1999,20,1
7,28mar1999,28mar1999,16,1
22,24mar1999,05apr1999,20,1
5,16apr1999,16apr1999,11,1
9,18mar1999,18mar1999,20,1
22,24mar1999,26mar1999,16,1
25,27mar1999,27mar1999,20,1
5,02apr1999,02apr1999,2,1
12,02apr1999,06apr1999,24,1
13,15apr1998,15may1998,8,1
5,28mar1999,02apr1999,16,1
9,02apr1999,04apr1999,16,1
8,01apr1999,01apr1999,20,1
5,03apr1999,03apr1999,8,1
7,24mar1999,08apr1999,25,1
18,05apr1999,05apr1999,9,1
1,15jul1998,10apr1999,21,1
6,28mar1999,28mar1999,24,1
8,29mar1999,19apr1999,25,1
4,15aug1998,28aug1998,15,1
12,11mar1999,11mar1999,9,1
7,02apr1999,16apr1999,6,1
9,10apr1999,10apr1999,9,1
5,10apr1999,10apr1999,9,1
7,26feb1998,27mar1999,24,1
7,21mar1999,27mar1999,24,1
1,15mar1999,15mar1999,8,1
6,28mar1999,28mar1999,20,1
3,27mar1999,28mar1999,24,1
7,27mar1999,27mar1999,16,1
4,28mar1999,28mar1999,20,1
16,21feb1999,15mar1999,20,1
11,26mar1999,26mar1999,2,1
11,28mar1999,28mar1999,20,1
8,26mar1999,30mar1999,20,1
15,28mar1999,28mar1999,17,1
5,26mar1999,26mar1999,21,1
3,15apr1999,17apr1999,21,1
6,28mar1999,03apr1999,8,1
5,18may1998,15apr1999,8,1
6,19jul1998,11apr1999,16,1
5,28may1998,20apr1999,1,1
4,28mar1999,02apr1999,20,1
11,15feb1999,22apr1999,3,1
20,17apr1999,17apr1999,13,1
15,28mar1999,21apr1999,2,1
7,28mar1999,03apr1999,20,1
7,28mar1999,28mar1999,20,1
6,06jun1998,16apr1999,21,1
8,17apr1999,23apr1999,20,1
7,19apr1999,23apr1999,21,1
22,01may1998,22apr1999,8,1
3,26mar1999,15apr1999,20,1
12,15jun1998,26apr1999,8,1
4,24mar1999,29mar1999,21,1
4,27mar1999,20apr1999,8,1
3,15apr1999,15apr1999,20,1
12,10apr1999,11apr1999,9,1
6,04apr1999,20apr1999,17,1
8,09apr1999,10apr1999,9,1
6,10apr1999,10apr1999,9,1
24,28mar1999,18apr1999,6,1
5,28mar1999,18apr1999,6,1
9,28mar1999,11apr1999,6,1
8,18apr1999,18apr1999,27,1
12,01apr1999,01apr1999,6,1
4,28mar1999,30mar1999,11,1
3,28mar1999,28mar1999,11,1
4,28mar1999,30mar1999,20,1
11,16apr1999,18apr1999,11,1
5,28mar1999,21apr1999,6,1
6,28mar1998,15mar1999,1,1
1,25apr1999,25apr1999,2,1
15,24mar1999,24apr1999,6,1
13,24mar1999,24mar1999,21,1
12,09apr1999,09apr1999,6,1
3,15mar1999,15mar1999,6,1
10,24mar1999,24mar1999,6,1
5,16apr1999,16apr1999,27,1
4,10jan1999,25apr1999,27,1
3,02jan1999,16apr1999,27,1
5,30mar1999,30mar1999,17,1
6,26apr1999,26apr1999,2,1
6,14apr1999,22apr1999,6,1
7,10apr1999,18apr1999,6,1
10,28mar1999,06apr1999,21,1
7,25mar1999,04apr1999,8,1
5,27mar1999,16apr1999,11,1
1,01sep1998,29apr1999,1,1
4,,27apr1999,6,1
14,20jun1998,02aug1998,11,1
4,28mar1999,31mar1999,8,1
6,11apr1999,21apr1999,6,1
2,07apr1999,15apr1999,27,1
1,07apr1999,15apr1999,27,1
2,28mar1999,18apr1999,6,1
7,28apr1999,28apr1999,2,1
9,28apr1999,28apr1999,2,1
8,28mar1999,26apr1999,6,1
5,10mar1999,28mar1999,6,1
14,28mar1999,16apr1999,6,1
11,24mar1999,16apr1999,6,1
12,28mar1999,13apr1999,6,1
14,28apr1999,28apr1999,2,1
7,28mar1999,21apr1999,6,1
8,12apr1999,18apr1999,6,1
11,27apr1999,27apr1999,2,1
8,27mar1999,16apr1999,6,1
13,16apr1999,18apr1999,27,1
11,25mar1999,27mar1999,24,1
18,26mar1999,28mar1999,24,1
17,25mar1999,27mar1999,24,1
1,28mar1999,28mar1999,17,1
10,28mar1999,28mar1999,17,1
5,28jul1998,15mar1999,16,1
6,19mar1999,22mar1999,24,1
7,24mar1999,24mar1999,24,1
7,28mar1999,28mar1999,17,1
4,04apr1999,04apr1999,11,1
23,05apr1999,05apr1999,2,1
7,15jul1998,15jul1998,16,1
7,17apr1999,17apr1999,9,1
25,28mar1999,28mar1999,6,1
17,27apr1999,27apr1999,2,1
10,20jul1998,25mar1999,16,1
24,25mar1999,12apr1999,,1
